fold,test_size,verified_accuracy,tradeable_accuracy,tradeable_count,win_loss_ratio,median_absolute_error,sharpe_ratio,max_drawdown,brier_score,expected_calibration_error
1,2030,0.6231527093596059,1.0,18,inf,0.020984373047758652,33.95982780974981,0.0,0.22989599115676573,0.050511885840025555
2,2030,0.6275862068965518,0.7114882506527415,766,15.231005229818551,0.016382147996510596,8.308965139367222,0.25434263640587107,0.235344873221766,0.0506934770751567
3,2030,0.5822660098522168,0.555952380952381,840,1.4876234923241678,0.018704161439165562,4.150818040654779,0.5148659605056778,0.24880626364314742,0.09911561575026982
4,2030,0.5408866995073892,0.6255656108597285,884,0.9132253182408145,0.018973460598748618,4.227294745844334,0.4739262971832692,0.24494136862222435,0.060099256354121354
5,2030,0.4980295566502463,0.5155131264916468,419,0.6775321205022141,0.016903095015455345,1.1379946546592214,0.38404263632660973,0.255344126005257,0.0699007316020127
